phylum,class,order,family,genus
 AC1,HDBW-WB69,,,
 AC1,SHA-114,,,
 AC1,TA06,,,
 AC1,,,,
 Acidobacteria,Acidobacteria-5,,,
 Acidobacteria,Acidobacteria-6,BPC015,,
 Acidobacteria,Acidobacteria-6,CCU21,,
 Acidobacteria,Acidobacteria-6,iii1-15,mb2424,
 Acidobacteria,Acidobacteria-6,iii1-15,RB40,
 Acidobacteria,Acidobacteria-6,iii1-15,,
 Acidobacteria,Acidobacteria-6,,,
 Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium
 Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter
 Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter
 Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus
 Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,
 Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter
 Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter
 Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,
 Acidobacteria,Acidobacteriia,Acidobacteriales,,
 Acidobacteria,AT-s2-57,,,
 Acidobacteria,AT-s54,,,
 Acidobacteria,BPC102,B110,,
 Acidobacteria,BPC102,MVS-40,,
 Acidobacteria,BPC102,,,
 Acidobacteria,Chloracidobacteria,24-Nov,,
 Acidobacteria,Chloracidobacteria,Chloracidobacterales,Chloracidobacteraceae,Candidatus Chloracidobacterium
 Acidobacteria,Chloracidobacteria,Chloracidobacterales,Chloracidobacteraceae,
 Acidobacteria,Chloracidobacteria,DS-100,,
 Acidobacteria,Chloracidobacteria,Ellin7246,,
 Acidobacteria,Chloracidobacteria,PK29,,
 Acidobacteria,Chloracidobacteria,RB41,Ellin6075,
 Acidobacteria,Chloracidobacteria,RB41,,
 Acidobacteria,Chloracidobacteria,,,
 Acidobacteria,DA052,E29,,
 Acidobacteria,DA052,Ellin6513,,
 Acidobacteria,DA052,HDB_SIOH1004,,
 Acidobacteria,EC1113,,,
 Acidobacteria,GAL08,,,
 Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix
 Acidobacteria,Holophagae,Holophagales,Holophagaceae,
 Acidobacteria,Holophagae,Holophagales,,
 Acidobacteria,iii1-8,32-20,,
 Acidobacteria,iii1-8,DS-18,,
 Acidobacteria,iii1-8,SJA-36,,
 Acidobacteria,iii1-8,,,
 Acidobacteria,OS-K,,,
 Acidobacteria,PAUC37f,,,
 Acidobacteria,RB25,,,
 Acidobacteria,S035,,,
 Acidobacteria,Solibacteres,JH-WHS99,,
 Acidobacteria,Solibacteres,Solibacterales,AKIW659,
 Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,Bryobacter
 Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,
 Acidobacteria,Solibacteres,Solibacterales,MVS-65,
 Acidobacteria,Solibacteres,Solibacterales,OPB3,
 Acidobacteria,Solibacteres,Solibacterales,PAUC26f,
 Acidobacteria,Solibacteres,Solibacterales,PK34,
 Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter
 Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,
 Acidobacteria,Solibacteres,Solibacterales,,
 Acidobacteria,Sva0725,Sva0725,,
 Acidobacteria,TM1,,,
 Acidobacteria,,,,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,AKIW874,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,JdFBGBact,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,koll13,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,Candidatus Microthrix
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,Candidatus Microthrix
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,ntu14,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,SC3-41,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,TK06,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,wb1_P06,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,ZA3409c,
 Actinobacteria,Acidimicrobiia,Acidimicrobiales,,
 Actinobacteria,Actinobacteria,Actinomycetales,ACK-M1,
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Candidatus Ancillula
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,N09
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum
 Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Actinopolysporaceae,Actinopolyspora
 Actinobacteria,Actinobacteria,Actinomycetales,Actinopolysporaceae,
