genus,value
AHJD-like viruses,26
Abiotrophia,115
Acanthamoeba,97
Acaryochloris,93
Acetitomaculum,1
Acetivibrio,177
Acetobacter,123
Acetobacterium,8
Acetohalobium,36
Acholeplasma,38
Achromobacter,585
Acidaminococcus,337
Acidilobus,3
Acidimicrobium,23
Acidiphilium,82
Acidithiobacillus,222
Acidobacterium,47
Acidothermus,38
Acidovorax,11272
Aciduliprofundum,6
Acinetobacter,14085
Acorus,1
Acremonium,1
Actinidia,1
Actinobacillus,718
Actinomyces,267
Actinosynnema,148
Acyrthosiphon,53
Adiantum,1
Adineta,1
Aedes,17
Aerococcus,30
Aeromicrobium,194
Aeromonas,1016
Aeropyrum,3
Aethionema,2
Afipia,33
Aggregatibacter,133
Agrobacterium,496
Agrotis,1
Ahrensia,152
Ailuropoda,5
Ajellomyces,13
Akkermansia,726
Albidiferax,267
Alcaligenes,6
Alcanivorax,42
Alexandrium,1
Algoriphagus,50
Alicycliphilus,3085
Alicyclobacillus,114
Aliivibrio,63
Alistipes,3656
Alkalilimnicola,58
Alkaliphilus,523
Allochromatium,110
Allomyces,1
Alphabaculovirus,912
Alphapapillomavirus,4
Alteromonas,276
Amanita,1
Amastigomonas,1
Ambrosia,6
Aminobacterium,78
Aminomonas,86
Ammonifex,33
Amycolatopsis,48
Anabaena,156
Anaerobaculum,34
Anaerococcus,393
Anaerofustis,115
Anaerolinea,45
Anaeromyxobacter,169
Anaeroplasma,1
Anaerostipes,377
Anaerotruncus,787
Ananas,1
Anaplasma,38
Anguilla,1
Anopheles,16
Anoxybacillus,178
Anthobolus,1
Anticarsia,2
Apis,9
Apodemus,1
Aquabacterium,1
Aquaspirillum,1
Aquifex,44
Arabidopsis,47
Arabis,1
Arachis,1
Aralia,1
Arcanobacterium,40
Archaeoglobus,21
Arcobacter,419
Aromatoleum,761
Arsenophonus,111
Arthrobacter,265
Arthrobotrys,1
Arthroderma,4
Arthrospira,124
Asclepias,1
Aspergillus,39
Astacopsis,2
Asticcacaulis,94
Atopobium,276
Atrina,1
Aurantimonas,70
Aureococcus,25
Autographa,669
Auxenochlorella,2
Avibacterium,1
Azeca,1
Azoarcus,343
Azorhizobium,413
Azospirillum,169
Azotobacter,232
Babesia,3
Bacillus,4041
Bacteriovorax,84
Bacteroides,33364
Barbarea,2
Barnesiella,1
Bartonella,367
Basfia,114
Bdellovibrio,429
Beggiatoa,30
Beijerinckia,66
Bergeyella,82
Bermanella,22
Betabaculovirus,2
Betaentomopoxvirus,17
Betapapillomavirus,51
Beutenbergia,44
Bifidobacterium,3500
Bigelowiella,1
Bilophila,368
Blastocystis,76
Blastopirellula,45
Blattabacterium,26
Blautia,5340
Bodo,1
Bombus,2
Bombyx,6
Borassus,1
Bordetella,1875
Borrelia,64
Bos,31
Bosea,1
Botryotinia,9
Bpp-1-like viruses,1577
Brachybacterium,24
Brachymonas,1
Brachyspira,162
Bradyrhizobium,385
Branchiostoma,27
Brassica,1
Brevibacillus,260
Brevibacterium,74
Brevundimonas,153
Brucella,346
Brugia,10
Bryonia,1
Buchnera,57
Bulleidia,83
Burkholderia,6663
Butyricimonas,1
Butyrivibrio,682
Cabomba,1
Caedibacter,1
Caenorhabditis,92
Caldanaerobacter,97
Caldicellulosiruptor,334
Calditerrivibrio,37
Caldivirga,17
Caligus,1
Callicebus,1
Callithamnion,1
Callithrix,1
Calycanthus,2
Caminibacter,13
Camponotus,3
Campylobacter,602
Candida,44
Candidatus Accumulibacter,172
Candidatus Amoebophilus,17
Candidatus Azobacteroides,22
Candidatus Blochmannia,24
Candidatus Cardinium,1
Candidatus Chloracidobacterium,1
Candidatus Cloacamonas,40
Candidatus Desulforudis,31
Candidatus Hamiltonella,124
Candidatus Korarchaeum,20
Candidatus Koribacter,99
Candidatus Kuenenia,16
Candidatus Liberibacter,39
Candidatus Micrarchaeum,9
Candidatus Odyssella,4
Candidatus Parvarchaeum,3
Candidatus Pelagibacter,35
Candidatus Phytoplasma,45
Candidatus Portiera,1
Candidatus Protochlamydia,89
Candidatus Puniceispirillum,124
Candidatus Regiella,34
Candidatus Riesia,1
Candidatus Solibacter,126
Candidatus Sulcia,9
Canis,18
Capnocytophaga,582
Capsaspora,20
Capsella,2
Caragana,1
Carboxydothermus,150
Cardiobacterium,80
Carica,2
Carnobacterium,38
Castanea,1
Catenibacterium,275
Catenulispora,155
Catharanthus,1
Catonella,31
Caulerpa,1
Caulobacter,205
Cavia,3
Cellulomonas,98
Cellulophaga,55
Cellulosilyticum,419
Cellvibrio,91
Cenarchaeum,6
Ceratitis,1
Chaetomium,5
Chara,1
Chelativorans,247
Chelydra,1
Chilodonella,1
Chitinophaga,537
Chlamydia,48
Chlamydiamicrovirus,5
Chlamydomonas,49
Chlamydophila,11
Chlorella,2
Chloriridovirus,8
Chlorobaculum,81
Chlorobium,272
Chloroflexus,97
Chloroherpeton,73
Chlorovirus,97
Chondrus,1
Choristoneura,3
Chromobacterium,454
Chromohalobacter,133
Chryseobacterium,4097
Chthoniobacter,91
Ciona,24
Citreicella,92
Citrobacter,697
Citromicrobium,65
Citrus,1
Clavibacter,122
Claviceps,1
Clavispora,1
Clostridium,23388
Cnidoscolus,1
Coccidioides,2
Coccinia,3
Coffea,1
Collimonas,4
Collinsella,428
Colwellia,85
Comamonas,3309
Conexibacter,31
Congregibacter,47
Coprinopsis,12
Coprobacillus,344
Coprococcus,744
Coprothermobacter,28
Coptotermes,9
Coraliomargarita,20
Corallocarpus,1
Corynebacterium,1063
Corynocarpus,1
Costelytra,2
Coxiella,44
Cricetulus,1
Crithidia,2
Croceibacter,67
Crocosphaera,82
Cronobacter,881
Crucihimalaya,2
Cryptobacterium,77
Cryptomonas,1
Cryptosporidium,25
Ctenopharyngodon,1
Cucumis,16
Culex,8
Cupressus,3
Cupriavidus,707
Curtobacterium,1
Curvibacter,11
Cyanidioschyzon,7
Cyanidium,2
Cyanobium,4
Cyanophora,1
Cyanothece,272
Cylindrospermopsis,10
Cynodon,1
Cynomorium,1
Cynops,1
Cyprinivirus,1
Cyprinus,3
Cystobacter,3
Cytomegalovirus,6
Cytophaga,217
Danio,42
Daphnia,36
Dasypus,1
Daucus,1
Debaryomyces,7
Dechloromonas,1102
Deferribacter,41
Dehalobacter,1
Dehalococcoides,332
Dehalogenimonas,38
Deinococcus,220
Delftia,2309
Dendrobium,1
Dendronephthya,1
Denitrovibrio,80
Dermacoccus,178
Desulfarculus,117
Desulfatibacillum,174
Desulfitobacterium,630
Desulfobacterium,38
Desulfobulbus,171
Desulfococcus,48
Desulfohalobium,32
Desulfomicrobium,85
Desulfonatronospira,13
Desulfotalea,226
Desulfotignum,3
Desulfotomaculum,1068
Desulfovibrio,1781
Desulfurispirillum,41
Desulfurivibrio,42
Desulfurococcus,1
Desulfuromonas,134
Dethiobacter,60
Dethiosulfovibrio,44
Dialister,837
Dichelobacter,154
Dickeya,165
Dictyoglomus,77
Dictyostelium,134
Dicyema,1
Dietzia,68
Dinoroseobacter,136
Diplosphaera,63
Dokdonia,136
Dolichospermum,1
Dorea,651
Draba,1
Drosophila,128
Dyadobacter,264
Echinops,1
Ectocarpus,22
Edwardsiella,407
Eggerthella,146
Ehrlichia,45
Eikenella,63
Elizabethkingia,9
Elusimicrobium,99
Emericella,8
Encephalitozoon,5
Endoriftia,37
Enhydrobacter,842
Ensifer,1
Entamoeba,89
Enterobacter,3672
Enterococcus,1716
Enterocytozoon,1
Ephydatia,1
Epidinium,1
Epiphyas,1
Epsilon15-like viruses,483
Epulopiscium,56
Equus,4
Eremococcus,42
Eremothecium,12
Erwinia,552
Erysipelothrix,33
Erythrobacter,187
Escherichia,7600
Ethanoligenens,652
Eubacterium,6404
Euplotes,1
Euptelea,1
Exiguobacterium,158
Faecalibacterium,10017
Felis,1
Ferrimonas,38
Ferroglobus,10
Ferroplasma,14
Fervidobacterium,38
Fibrobacter,233
Ficalhoa,1
Filifactor,39
Filobasidiella,14
Finegoldia,164
Flammeovirga,2
Flavobacterium,1497
Francisella,135
Frankia,426
Fructobacillus,1
Fulvimarina,37
Fusobacterium,1305
Fusochloris,1
Gadus,7
Galleria,2
Gallionella,81
Gallus,12
Gammapapillomavirus,5
Gardnerella,162
Gasterosteus,28
Gemella,30
Gemmata,221
Gemmatimonas,73
Geobacillus,583
Geobacter,493
Geodermatophilus,85
Giardia,10
Gibberella,23
Glaciecola,11
Gloeobacter,65
Glomerella,5
Glossina,2
Gluconacetobacter,213
Gluconobacter,166
Glycine,7
Goniomonas,1
Gordonia,105
Gordonibacter,104
Gossypium,1
Gracilaria,1
Gramella,265
Granulibacter,96
Granulicatella,54
Granulicella,38
Grosmannia,2
Guillardia,1
Haemaphysalis,1
Haemophilus,1845
Hahella,224
Haladaptatus,4
Halalkalicoccus,3
Halanaerobium,91
Haliangium,69
Haloarcula,2
Halobacterium,5
Haloferax,1
Halogeometricum,2
Halomicrobium,6
Halomonas,148
Haloquadratum,5
Halorhabdus,6
Halorhodospira,37
Halorubrum,9
Haloterrigena,8
Halothermothrix,97
Halothiobacillus,32
Halteria,1
Hanusia,1
Harpegnathos,7
Hartmannella,2
Hedycarya,1
Helianthus,1
Helicobacter,303
Helicoverpa,1
Heliobacillus,8
Heliobacterium,267
Heliosperma,1
Hemicentrotus,1
Herbaspirillum,114
Herminiimonas,222
Herpetosiphon,75
Heterocapsa,1
Heteromita,1
Heterosigma,2
Heuchera,2
Hevea,1
Hirschia,24
Histophilus,458
Hoeflea,79
Holdemania,479
Homo,299
Hordeum,6
Huperzia,1
Hydra,34
Hydrangea,1
Hydrogenivirga,22
Hydrogenobacter,254
Hydrogenobaculum,22
Hyperthermus,1
Hyphomicrobium,455
Hyphomonas,83
Hypocrea,2
I3-like viruses,83
Idiomarina,108
Ignicoccus,4
Ignisphaera,1
Ilyobacter,156
Influenzavirus A,4
Intrasporangium,24
Iridovirus,16
Isosphaera,59
Ixodes,8
Janibacter,62
Jannaschia,138
Janthinobacterium,451
Jonesia,367
Jonquetella,54
Kangiella,29
Kappapapillomavirus,1
Ketogulonicigenium,85
Kineococcus,142
Kingella,139
Kitasatospora,19
Klebsiella,2208
Kluyvera,1
Kluyveromyces,5
Kocuria,38
Koliella,1
Komagataella,1
Kordia,122
Kosmotoga,30
Kribbella,137
Ktedonobacter,183
Kyrpidia,37
Kytococcus,35
L5-like viruses,43
LUZ24-like viruses,36
Labrenzia,169
Laccaria,6
Lachancea,1
Lactobacillus,2724
Lactococcus,2791
Lactuca,1
Lambda-like viruses,867
Lambdapapillomavirus,1
Laribacter,1260
Lautropia,29
Lawsonia,37
Leadbetterella,219
Leeuwenhoekiella,172
Legionella,187
Leifsonia,301
Leishmania,11
Lentisphaera,28
Lepeophtheirus,2
Lepidium,2
Leptolyngbya,2
Leptosphaeria,1
Leptospira,102
Leptospirillum,93
Leptothrix,235
Leptotrichia,165
Leucaena,1
Leuconostoc,227
Limnobacter,23
Listeria,1153
Listonella,1
Litopenaeus,1
Loa,11
Lobelia,1
Lobomonas,1
Lobophora,1
Lobularia,2
Lodderomyces,12
Loktanella,42
Lopaphus,2
Loxodonta,1
Luffa,1
Lutiella,284
Lychnis,1
Lymantria,3
Lymphocystivirus,4
Lyngbya,61
Lysinibacillus,146
Macaca,116
Macavirus,5
Macrococcus,69
Magnaporthe,14
Magnetococcus,178
Magnetospirillum,1002
Malassezia,22
Malawimonas,1
Mannheimia,365
Marasmius,1
Marchantia,1
Maribacter,95
Maricaulis,77
Marinitoga,9
Marinobacter,238
Marinomonas,183
Mariprofundus,43
Maritimibacter,76
Marivirga,103
Mastadenovirus,4
Medicago,2
Megaleranthis,2
Megamonas,8
Megasphaera,359
Meiothermus,105
Melanoplus,55
Mesocricetus,1
Mesoplasma,17
Mesorhizobium,387
Metallosphaera,9
Metarhizium,4
Methanobrevibacter,123
Methanocaldococcus,45
Methanocella,6
Methanococcoides,53
Methanococcus,65
Methanocorpusculum,60
Methanoculleus,9
Methanohalobium,61
Methanohalophilus,20
Methanoplanus,38
Methanopyrus,2
Methanoregula,34
Methanosaeta,27
Methanosarcina,150
Methanosphaera,12
Methanosphaerula,27
Methanospirillum,42
Methanothermobacter,27
Methanothermococcus,2
Methanothermus,5
Methylacidiphilum,37
Methylibium,163
Methylobacillus,173
Methylobacter,287
Methylobacterium,1284
Methylocella,96
Methylococcus,533
Methylocystis,49
Methylophaga,63
Methylophilus,3
Methylosinus,164
Methylotenera,37
Methylovorus,309
Meyerozyma,3
Micavibrio,1
Microbacterium,3
Microchaete,1
Micrococcus,223
Microcoleus,75
Microcystis,121
Micromonas,35
Micromonospora,124
Microscilla,125
Microvirus,1
Mimivirus,107
Mitsuokella,1331
Mobiluncus,341
Molineria,1
Moniliophthora,8
Monocercomonoides,1
Monodelphis,33
Monosiga,28
Moorella,115
Moraxella,72
Morganella,1
Moritella,24
Mu-like viruses,184
Mucilaginibacter,102
Muntiacus,1
Mupapillomavirus,2
Mus,108
Musca,1
Mycetocola,1
Mycobacterium,1868
Mycoplasma,294
Myxococcus,165
N15-like viruses,96
N4-like viruses,2560
Naegleria,42
Nakamurella,86
Nakaseomyces,3
Nanoarchaeum,1
Nasonia,4
Nasturtium,2
Natranaerobius,133
Natrialba,11
Natronomonas,7
Nautilia,22
Nectria,5
Negativicoccus,1
Neisseria,2446
Nematostella,150
Neorickettsia,30
Neosartorya,3
Nephroselmis,1
Neptuniibacter,29
Nerium,1
Neurospora,22
Nicotiana,2
Nitratifractor,204
Nitratiruptor,97
Nitrobacter,512
Nitrococcus,77
Nitrosococcus,556
Nitrosomonas,393
Nitrosopumilus,5
Nitrosospira,152
Nitrospira,51
Nocardia,605
Nocardioides,105
Nocardiopsis,75
Nodularia,27
Nostoc,152
Novosphingobium,392
Nymphaea,1
Oceanibulbus,29
Oceanicaulis,40
Oceanicola,85
Oceanithermus,23
Oceanobacillus,82
Ochrobactrum,728
Octadecabacter,96
Odontella,2
Odoribacter,1
Oedogonium,1
Oenococcus,371
Ogataea,3
Oikopleura,5
Olea,1
Oligella,1
Oligotropha,239
Olimarabidopsis,2
Olsenella,115
Opitutus,82
Orgyia,7
Oribacterium,338
Orientia,11
Ornithobacterium,7
Ornithorhynchus,30
Orobanche,1
Orpinomyces,1
Orthopoxvirus,1
Oryctolagus,5
Oryza,45
Oryzias,13
Oscillatoria,37
Oscillochloris,28
Osmerus,1
Ostreococcus,21
Otolemur,1
Ovis,4
Oxalis,2
Oxalobacter,808
P1-like viruses,123
P2-like viruses,271
P22-like viruses,299
Paenibacillus,1265
Paludibacter,370
Pan,27
Pantoea,591
Papio,1
Parabacteroides,3282
Parabodo,2
Parachlamydia,39
Paracoccidioides,10
Paracoccus,1760
Paradrymonia,1
Paramecium,52
Paraprevotella,1
Parascardovia,44
Parvibaculum,147
Parvularcula,37
Pasteurella,79
Pasteuria,3
Paucimonas,1
Pectinatus,1
Pectobacterium,378
Pediculus,6
Pediococcus,182
Pedobacter,610
Pedosphaera,57
Pelagibaca,92
Pelobacter,211
