phylum,class,order,family,genus,value
Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,47
Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,34
Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,23
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,267
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,40
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,341
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,5
Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix,1
Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,74
Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,98
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,1063
Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,24
Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus,178
Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,68
Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,426
Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,85
Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,105
Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,62
Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Kytococcus,35
Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia,367
Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus,142
Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter,122
Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,1
Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,3
Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Mycetocola,1
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,265
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,38
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,223
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Renibacterium,41
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,50
Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1868
Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,605
Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,614
Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,194
Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,137
Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,105
Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis,75
Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,1054
Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,48
Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,1
Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharomonospora,20
Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora,52
Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Thermobispora,42
Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,Sanguibacter,24
Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Kitasatospora,19
